id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,pos_ecr,sd_ecr,ecr,risk,adp,adp_diff,full_name
14080,Devin,Singletary,BUF,RB,22,0,RB,average,106.28673524030906,71,3.833885675296841,50.743018637644404,42.52250000000001,170.89605867286534,9,-38.39088880695216,265,-102.15512404726121,354,26.218434625604118,172,52.2,10,143.8,4.792646907784687,128.21,136.79,Devin Singletary
14080,Devin,Singletary,BUF,RB,22,0,RB,robust,103.937,71,2.5105469377311636,63.09047286912884,42.52250000000001,170.89605867286534,9,-40.22598499381827,265,-101.64048499381826,354,26.733073679047067,172,52.2,10,143.8,4.792646907784687,128.21,136.79,Devin Singletary
14080,Devin,Singletary,BUF,RB,22,0,RB,weighted,107.44097093404842,54,0.5419879663796223,54.314479957496474,38.97,170.6582022209676,9,-18.57057840106893,211,-87.04154933511735,332,44.64665288585026,147,52.2,10,143.8,4.792646907784687,128.21,82.78999999999999,Devin Singletary
14081,Myles,Gaskin,MIA,RB,22,0,RB,average,12.943000000000001,176,1.1183750000000003,11.50282488492863,1.8615000000000017,20.805600000000002,NA,-131.7346240472612,556,-142.8161240472612,615,-123.8720240472612,568,94.6,9.4,291.3,4.5823060188515745,150.99,405.01,Myles Gaskin
14081,Myles,Gaskin,MIA,RB,22,0,RB,robust,14.229750000000001,169,0.15225000000000044,3.6827784000000023,1.8615000000000017,20.805600000000002,NA,-129.93323499381827,534,-142.30148499381826,615,-123.35738499381827,568,94.6,9.4,291.3,4.5823060188515745,150.99,383.01,Myles Gaskin
14081,Myles,Gaskin,MIA,RB,22,0,RB,weighted,10.448417565485363,132,0.3445008855563856,14.88389063719564,0.005000000000000001,18.932757608695653,NA,-115.563131769632,447,-126.00654933511736,489,-107.0787917264217,556,94.6,9.4,291.3,4.5823060188515745,150.99,296.01,Myles Gaskin
14082,Bryce,Love,WAS,RB,22,0,RB,average,32.475,139,0.32499999999999574,40.057599154217925,7.082500000000003,58.0675,21,-112.20262404726122,461,-137.5951240472612,490,-86.61012404726122,444,99.2,13.2,293.9,5.914464982094621,150.89,310.11,Bryce Love
14082,Bryce,Love,WAS,RB,22,0,RB,robust,32.475,138,0.32499999999999574,41.994645,7.082500000000003,58.0675,21,-111.68798499381828,448,-137.0804849938183,490,-86.09548499381827,444,99.2,13.2,293.9,5.914464982094621,150.89,297.11,Bryce Love
14082,Bryce,Love,WAS,RB,22,0,RB,weighted,60.9,82,0.6020818062374858,Inf,60.900000000000006,60.900000000000006,21,-65.11154933511736,301,-65.11154933511736,277,-65.11154933511736,423,99.2,13.2,293.9,5.914464982094621,150.89,150.11,Bryce Love
14083,Travis,Homer,SEA,RB,21,0,RB,average,18.558333333333334,165,0.6579666666666633,14.583182094453871,2.274000000000002,27.78,NA,-126.11929071392788,521,-142.40362404726122,572,-116.89762404726122,543,106.2,15.1,317.4,6.580544463716146,150.98,370.02,Travis Homer
